unique_id,person_id,video_id,start_t,end_t,action
17.2,17,2,00:00:25,00:00:30,"peel_cucumber_prep
"
17.2,17,2,00:00:25,00:04:15,"cut_and_mix_ingredients
"
17.2,17,2,00:00:30,00:00:46,"peel_cucumber_core
"
17.2,17,2,00:00:46,00:01:02,"peel_cucumber_post
"
17.2,17,2,00:01:08,00:01:14,"cut_cucumber_prep
"
17.2,17,2,00:01:14,00:01:58,"cut_cucumber_core
"
17.2,17,2,00:01:58,00:02:00,"cut_cucumber_post
"
17.2,17,2,00:02:01,00:02:04,"place_cucumber_into_bowl_prep
"
17.2,17,2,00:02:04,00:02:09,"place_cucumber_into_bowl_core
"
17.2,17,2,00:02:09,00:02:13,"place_cucumber_into_bowl_post
"
17.2,17,2,00:02:14,00:02:17,"cut_tomato_prep
"
17.2,17,2,00:02:17,00:02:35,"cut_tomato_core
"
17.2,17,2,00:02:35,00:02:38,"cut_tomato_post
"
17.2,17,2,00:02:38,00:02:42,"place_tomato_into_bowl_prep
"
17.2,17,2,00:02:42,00:02:44,"place_tomato_into_bowl_core
"
17.2,17,2,00:02:44,00:02:47,"place_tomato_into_bowl_post
"
17.2,17,2,00:02:47,00:03:07,"cut_cheese_prep
"
17.2,17,2,00:03:07,00:03:20,"cut_cheese_core
"
17.2,17,2,00:03:20,00:03:23,"cut_cheese_post
"
17.2,17,2,00:03:20,00:03:24,"place_cheese_into_bowl_prep
"
17.2,17,2,00:03:24,00:03:28,"place_cheese_into_bowl_core
"
17.2,17,2,00:03:28,00:03:29,"place_cheese_into_bowl_post
"
17.2,17,2,00:03:32,00:03:50,"cut_lettuce_prep
"
17.2,17,2,00:03:50,00:03:55,"cut_lettuce_core
"
17.2,17,2,00:03:55,00:03:55,"cut_lettuce_post
"
17.2,17,2,00:03:56,00:03:59,"place_lettuce_into_bowl_prep
"
17.2,17,2,00:03:59,00:04:00,"place_lettuce_into_bowl_core
"
17.2,17,2,00:04:00,00:04:04,"place_lettuce_into_bowl_post
"
17.2,17,2,00:04:07,00:04:08,"mix_ingredients_prep
"
17.2,17,2,00:04:08,00:04:14,"mix_ingredients_core
"
17.2,17,2,00:04:14,00:04:15,"mix_ingredients_post
"
17.2,17,2,00:04:22,00:04:33,"add_oil_prep
"
17.2,17,2,00:04:22,00:05:19,"prepare_dressing
"
17.2,17,2,00:04:33,00:04:36,"add_oil_core
"
17.2,17,2,00:04:36,00:04:39,"add_oil_post
"
17.2,17,2,00:04:39,00:04:41,"add_pepper_prep
"
17.2,17,2,00:04:41,00:04:44,"add_pepper_core
"
17.2,17,2,00:04:44,00:04:45,"add_pepper_post
"
17.2,17,2,00:04:46,00:04:49,"add_salt_prep
"
17.2,17,2,00:04:49,00:04:52,"add_salt_core
"
17.2,17,2,00:04:52,00:04:54,"add_salt_post
"
17.2,17,2,00:04:55,00:05:02,"add_vinegar_prep
"
17.2,17,2,00:05:02,00:05:05,"add_vinegar_core
"
17.2,17,2,00:05:05,00:05:10,"add_vinegar_post
"
17.2,17,2,00:05:11,00:05:12,"mix_dressing_prep
"
17.2,17,2,00:05:12,00:05:17,"mix_dressing_core
"
17.2,17,2,00:05:17,00:05:19,"mix_dressing_post
"
17.2,17,2,00:05:19,00:05:32,"serve_salad_onto_plate_prep
"
17.2,17,2,00:05:19,00:06:57,"serve_salad
"
17.2,17,2,00:05:32,00:05:39,"serve_salad_onto_plate_core
"
17.2,17,2,00:05:39,00:05:55,"serve_salad_onto_plate_post
"
17.2,17,2,00:05:55,00:05:56,"add_dressing_prep
"
17.2,17,2,00:05:56,00:06:35,"add_dressing_core
"
17.2,17,2,00:06:35,00:06:57,"add_dressing_post
"
20.2,20,2,00:14:48,00:14:55,"peel_cucumber_prep
"
20.2,20,2,00:14:48,00:16:59,"cut_and_mix_ingredients
"
20.2,20,2,00:14:55,00:15:13,"peel_cucumber_core
"
20.2,20,2,00:15:13,00:15:14,"peel_cucumber_post
"
20.2,20,2,00:15:14,00:15:17,"cut_cucumber_prep
"
20.2,20,2,00:15:17,00:15:20,"cut_cucumber_core
"
20.2,20,2,00:15:20,00:15:30,"cut_cucumber_post
"
20.2,20,2,00:15:30,00:15:31,"place_cucumber_into_bowl_prep
"
20.2,20,2,00:15:31,00:15:33,"place_cucumber_into_bowl_core
"
20.2,20,2,00:15:33,00:15:35,"place_cucumber_into_bowl_post
"
20.2,20,2,00:15:37,00:15:41,"cut_lettuce_prep
"
20.2,20,2,00:15:41,00:15:46,"cut_lettuce_core
"
20.2,20,2,00:15:46,00:15:47,"cut_lettuce_post
"
20.2,20,2,00:15:48,00:15:53,"place_lettuce_into_bowl_prep
"
20.2,20,2,00:15:53,00:15:54,"place_lettuce_into_bowl_core
"
20.2,20,2,00:15:54,00:15:57,"place_lettuce_into_bowl_post
"
20.2,20,2,00:15:59,00:16:00,"cut_tomato_prep
"
20.2,20,2,00:16:00,00:16:19,"cut_tomato_core
"
20.2,20,2,00:16:19,00:16:20,"cut_tomato_post
"
20.2,20,2,00:16:20,00:16:22,"place_tomato_into_bowl_prep
"
20.2,20,2,00:16:22,00:16:23,"place_tomato_into_bowl_core
"
20.2,20,2,00:16:23,00:16:25,"place_tomato_into_bowl_post
"
20.2,20,2,00:16:26,00:16:34,"cut_cheese_prep
"
20.2,20,2,00:16:34,00:16:47,"cut_cheese_core
"
20.2,20,2,00:16:47,00:16:48,"cut_cheese_post
"
20.2,20,2,00:16:48,00:16:49,"place_cheese_into_bowl_prep
"
20.2,20,2,00:16:49,00:16:49,"place_cheese_into_bowl_core
"
